NAMESPACE            NAME                                                 READY   STATUS                   RESTARTS       AGE     IP              NODE                         NOMINATED NODE   READINESS GATES
kube-system          kube-controller-manager-hostname-txyuq.foreman.pxe   1/1     Running                  30 (17h ago)   21d     193.124.7.2     hostname-txyuq.foreman.pxe   <none>           <none>
kube-system          kube-proxy-dcvqf                                     1/1     Running                  29 (17h ago)   21d     193.124.7.2     hostname-txyuq.foreman.pxe   <none>           <none>
kube-system          kube-scheduler-hostname-txyuq.foreman.pxe            1/1     Running                  54 (17h ago)   21d     193.124.7.2     hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-22bg7                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-22km7                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-22qbp                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-22rfk                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-22t5k                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-22xnr                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-22xx7                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-24475                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-246bz                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-24btz                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
tigera-operator      tigera-operator-7fc95779c7-24d7x                     0/1     Evicted                  0              12h     <none>          hostname-txyuq.foreman.pxe   <none>           <none>
